Activity Code,Activity Description,Unit of Measure
402,Sweeping,Employee Hours (EH)
403,Tunnel Maintenance,Employee Hours (EH)
404,Emergency Services,Employee Hours (EH)
405,Steel Piling Installation,Feet (FT)
406,Unclassified Excavation,Tons (TN)
407,Non-Annual Plan Employee Hours,Employee Hours (EH)
408,Miscellaneous Maintenance,Employee Hours (EH)
409,Placing PCC,Cubic Yards (CY)
410,Erosion / Pollution Control,Employee Hours (EH)
411,Hauling Materials -  Premix and Stone,Miles (MI)
412,Embankment  Stabilization - DOH,Tons (TN)
413,Embankment Stabilisation - Contract,Dollars (DL)
414,Oil and Gas Road Policy Encroachment Permitting,Employee Hours (EH)
415,Oil and Gas Road Policy Permit Inspections and Administration,Employee Hours (EH)
416,Emergency / Cooperative Oil and Gas Road Repair,Employee Hours (EH)
417,"lnstall Gabion Baskets, Crib Walls and Concrète Block Walls",Cubic Yards (CY)
420,Natural Disaster Debris Removal,Cubic Yards (CY)
421,Geostabilization Support,Employee Hours (EH)
501,Equipment Down Time,Employee Hours (EH)
529,Repair of Hired/ Rented Equipment,Employee Hours (EH)
535,Mounting / Dismounting Attachments to Equipment for Temporary Use,Employee Hours (EH)
542,Equipment Transporting -  All,Employee Hours (EH)
550,Equipment Shop Overhead,Employee Hours (EH)
568,Miscellaneous  Expenses Equipment Shop,Dollars (DL)
801,Organization Overhead,Employee Hours (EH)
802,Miscellaneous Inventory Exp - Maintenance,Dollars (DL)
803,Leave Time,Employee Hours (EH)
807,Grievance — Maintenance Work Force,Employee Hours (EH)
809,Training,Employee Hours (EH)
811,Unproductive Equipment,Dollars (DL)
812,Rents and Miscellaneous Expenses,Dollars (DL)
813,Flagging,Employee Hours (EH)
814,Handling of Materials (Non-SRlC),Employee Hours (EH)
815,Cleaning of Equipment,Employee Hours (EH)
816,Building and Grounds,Employee Hours (EH)
817,SWAT/Citizen Requests,Employee Hours (EH)
